序号,简体,繁体,康熙笔画,字义五行
725,陔,陔,14,木
726,雇,僱,14,木
727,骱,骱,14,木
728,魁,魁,14,木
729,僚,僚,14,火
730,叹,嘆,14,火
731,喽,嘍,14,火
732,嘀,嘀,14,火
733,团,團,14,火
734,图,圖,14,火
735,夺,奪,14,火
736,奁,奩,14,火
737,嫘,嫘,14,火
738,嫜,嫜,14,火
739,嫠,嫠,14,火
740,嫡,嫡,14,火
741,嫩,嫩,14,火
742,宁,寧,14,火
743,寥,寥,14,火
744,对,對,14,火
745,尔,爾,14,火
746,尘,塵,14,火
747,尽,盡,14,火
748,廖,廖,14,火
749,彰,彰,14,火
750,态,態,14,火
751,恺,愷,14,火
752,捣,搗,14,火
753,搌,搌,14,火
754,搦,搦,14,火
755,搪,搪,14,火
756,搭,搭,14,火
757,摇,搖,14,火
758,滕,滕,14,火
759,煽,煽,14,火
760,熄,熄,14,火
761,瑙,瑙,14,火
762,畅,暢,14,火
763,疡,瘍,14,火
764,瘌,瘌,14,火
765,砀,碭,14,火
766,祯,禎,14,火
767,种,種,14,火
768,窝,窩,14,火
769,端,端,14,火
770,粼,粼,14,火
771,纶,綸,14,火
772,绫,綾,14,火
773,绰,綽,14,火
774,绺,綹,14,火
775,绽,綻,14,火
776,绾,綰,14,火
777,绿,綠,14,火
778,缀,綴,14,火
779,缁,緇,14,火
780,罩,罩,14,火
781,置,置,14,火
782,胀,脹,14,火
783,腆,腆,14,火
784,腕,腕,14,火
785,舔,舔,14,火
786,荧,熒,14,火
787,蜩,蜩,14,火
788,蜿,蜿,14,火
789,裰,裰,14,火
790,裳,裳,14,火
791,裸,裸,14,火
792,裹,裹,14,火
793,裼,裼,14,火
794,诶,誒,14,火
795,赵,趙,14,火
796,踉,踉,14,火
797,辄,輒,14,火
798,辣,辣,14,火
799,这,這,14,火
800,连,連,14,火
801,透,透,14,火
802,逐,逐,14,火
803,逖,逖,14,火
804,逗,逗,14,火
805,通,通,14,火
806,逞,逞,14,火
807,酹,酹,14,火
808,陋,陋,14,火
809,雒,雒,14,火
810,靼,靼,14,火
811,鞅,鞅,14,火
812,领,領,14,火
813,与,與,14,土
814,准,準,14,土
815,呕,嘔,14,土
816,嗷,嗷,14,土
817,嘘,噓,14,土
818,垫,墊,14,土
819,堑,塹,14,土
820,塾,塾,14,土
821,墀,墀,14,土
822,墁,墁,14,土
823,境,境,14,土
824,墅,墅,14,土
825,墉,墉,14,土
826,墒,墒,14,土
827,夤,夤,14,土
828,嫣,嫣,14,土
829,寤,寤,14,土
830,岖,嶇,14,土
831,崭,嶄,14,土
832,嵝,嶁,14,土
833,嶂,嶂,14,土
834,廒,廒,14,土
835,愠,慍,14,土
836,旖,旖,14,土
837,殒,殞,14,土
838,氲,氳,14,土
839,温,溫,14,土
840,猿,猿,14,土
841,玮,瑋,14,土
842,瑕,瑕,14,土
843,瑛,瑛,14,土
844,监,監,14,土
845,硕,碩,14,土
846,碟,碟,14,土
847,碣,碣,14,土
848,碥,碥,14,土
849,维,維,14,土
850,翟,翟,14,土
851,肮,骯,14,土
852,腋,腋,14,土
853,诞,誕,14,土
854,诬,誣,14,土
855,误,誤,14,土
856,诱,誘,14,土
857,踊,踊,14,土
858,闺,閨,14,土
859,饴,飴,14,土
860,鸢,鳶,14,土
861,像,像,14,金
862,僖,僖,14,金
863,僧,僧,14,金
864,僮,僮,14,金
865,划,劃,14,金
866,劁,劁,14,金
867,劂,劂,14,金
868,啧,嘖,14,金
869,嗽,嗽,14,金
870,嗾,嗾,14,金
871,嘈,嘈,14,金
872,嫦,嫦,14,金
873,实,實,14,金
874,寝,寢,14,金
875,察,察,14,金
876,寿,壽,14,金
877,屣,屣,14,金
878,帻,幘,14,金
879,怆,愴,14,金
880,悫,愨,14,金
881,愫,愫,14,金
882,慈,慈,14,金
883,慊,慊,14,金
884,戗,戧,14,金
885,抢,搶,14,金
886,损,損,14,金
887,搋,搋,14,金
888,搐,搐,14,金
889,搓,搓,14,金
890,搔,搔,14,金
891,搠,搠,14,金
892,搡,搡,14,金
893,狮,獅,14,金
894,狲,猻,14,金
895,瑜,瑜,14,金
896,瑞,瑞,14,金
897,甄,甄,14,金
898,睹,睹,14,金
899,睿,睿,14,金
900,碡,碡,14,金
901,禊,禊,14,金
902,称,稱,14,金
903,窬,窬,14,金
904,粹,粹,14,金
905,精,精,14,金
906,綮,綮,14,金
907,绶,綬,14,金
908,绸,綢,14,金
909,综,綜,14,金
910,署,署,14,金
911,翠,翠,14,金
912,聚,聚,14,金
913,肾,腎,14,金
914,腔,腔,14,金
915,臧,臧,14,金
916,蜘,蜘,14,金
917,蜣,蜣,14,金
918,蜥,蜥,14,金
919,蜻,蜻,14,金
920,衔,銜,14,金
921,觋,覡,14,金
922,觫,觫,14,金
923,誓,誓,14,金
924,认,認,14,金
925,诚,誠,14,金
926,说,說,14,金
927,诵,誦,14,金
928,赈,賑,14,金
929,赊,賒,14,金
930,逍,逍,14,金
931,途,途,14,金
932,逝,逝,14,金
933,速,速,14,金
934,造,造,14,金
935,逡,逡,14,金
936,郝,郝,14,金
937,酲,酲,14,金
938,酴,酴,14,金
939,酸,酸,14,金
940,銎,銎,14,金
941,铑,銠,14,金
942,铒,鉺,14,金
